productTitle,title_length,originalPrice,price,sold,tagText,has_free_shipping,price_bin,discount_pct
Dresser For Bedroom With 9 Fabric Drawers Wardrobe Steel Frame Assembly Closet For Clothes Storage Display Cabinet Of Furniture,127,110.61818851867785,46.79,600,Free shipping,1,<50,0.58
"Outdoor Conversation Set 4 Pieces Patio Furniture, Wicker Patio Chair Sofa Set w/ Water-Resistant Dark-Brown Cushion & Tempered",127,352.8197242644426,169.72,0,Free shipping,1,100-200,0.52
Desser For Bedroom With 7 Fabric Drawers Organizer Storage Closet Chest Clothes For Living Room Display Cabinet Of Furniture,124,78.4,39.46,7,Free shipping,1,<50,0.5
"Modern Accent Boucle Chair,Upholstered Tufted Creative Furniture Sofa Couch Lounge Reading Chair for Living Room Home Decorative",128,239.07780074208839,111.99,0,Free shipping,1,100-200,0.53
Small Unit Simple Computer Desk Household Wooden Minimalist Tea Table Wooden Minimalist Small Makeup Table Home Furniture,121,48.82,21.37,1,Free shipping,1,<50,0.56
"3 Pieces Patio Furniture Set, Outdoor Swivel Glider Rocker, Wicker Bistro Set with Rattan Rocking Chair, Glass Top Table",120,1294.04,123.4,53,Free shipping,1,100-200,0.9
"5-Piece Patio Furniture Set Outdoor Couch with Glass Coffee Table and Two Pillows, Outdoor Sectional Conversation Set",117,409.1488701765178,198.31,1,Free shipping,1,100-200,0.52
"Living Room Furniture, Modern 3-Piece Including Three-Seater, Loveseat and Single Chair,Dutch Velvet Upholstered Sofa Set",121,1474.17,734.58,5,Free shipping,1,500+,0.5
TV Stand Dresser For Bedroom With 5 Fabric Drawers Organizer Storage Closet Chest Clothes Storage Display Cabinet Of Furniture,126,105.04241087155744,43.96,3,Free shipping,1,<50,0.58
"Outdoor Furniture Set 3 Pieces Wicker Patio Furniture Outdoor Sectional Patio Couch Outdoor Coffee Table,Khaki",110,478.0875485767806,233.3,0,Free shipping,1,200-500,0.51
"4 Pieces Patio Furniture Set, Outdoor Rattan Woven Conversation Sectional L-Shaped Sofa with 5 Seater for Backyard",114,499.50405141218664,244.17,1,Free shipping,1,200-500,0.51
"Jela kids couch 14PCs luxury, floor sofa modular furniture for adults, Playhouse play set toddlers babies, Modul",112,487.7023170990236,238.18,0,Free shipping,1,200-500,0.51
"3/4/5 Piece Boho Outdoor Patio Furniture Sets with Egg Chair and Ice Bucket, Small L Shape Wicker Conversation Sectional Sofa",125,995.2754045375975,495.8,0,Free shipping,1,200-500,0.5
"3 PCS Patio Conversation Set, Solid Eucalyptus Wood Frame Outdoor Wicker Furniture Set Bistro Set with Coffee Table",115,250.24905843084204,117.66,0,Free shipping,1,100-200,0.53
Modern luxury lounge chair home furniture hotel bedroom lounge chair living room accent chair,93,1947.0586786616032,978.88,0,Free shipping,1,500+,0.5
"Furniture Contemporary Reversible Sectional Sleeper Sectional Sofa with Storage Chaise in Dark Gray Fabric, free shipping",121,887.188068240415,440.94,0,Free shipping,1,200-500,0.5
"Patio Furniture Sets - 3 Pieces Rattan Sofa Set, Outdoor Conversation Set with Tempered Glass Tabletop, Outdoor Furniture Sets",126,379.57557601281553,183.3,0,Free shipping,1,100-200,0.52
"Patio Dining Set Outdoor Furniture with 6 Stackable Textilene Chairs and Large Table for Yard, Garden Porch and Poolside, Grey",126,137.19671871643567,60.28,4,Free shipping,1,50-100,0.56
7 Pieces Patio Furniture Set - Outdoor Sectional Wicker Rattan Furniture with Cushion and Glass Table Patio Conversation,120,760.2258379999768,376.5,0,Free shipping,1,200-500,0.5
"47"" Small Modern Loveseat Couch Sofa, Fabric Upholstered 2-Seat Sofa, Love Seat Furniture with 2 Pillows, Wood Leg Sofas",120,422.19185534398684,204.93,0,Free shipping,1,200-500,0.51
7-piece patio furniture set modular wicker outdoor sectional sofa PE rattan outdoor set with pillowtop cushions and coffee table,128,671.47,331.24,39,Free shipping,1,200-500,0.51
Patio Furniture Sets All Weather Outdoor Sectional Sofa Manual Weaving Wicker Rattan Patio Seating Sofas with Cushion & Table,125,563.4974287897383,276.65,0,Free shipping,1,200-500,0.51
Office Furniture Computer Stand 42*26cm Adjustable Foldable Laptop Holder Notebook Desks Lap PC Folding Desk Table Vented Stand,127,56.58,26.03,1000,Free shipping,1,<50,0.54
"4-Piece Outdoor Patio Furniture Set,Wicker Rattan Sectional Sofa Couch with Glass Coffee Table|Black Easy Cleaning and Stronger",127,650.9760604265394,321.05,1,Free shipping,1,200-500,0.51
5 Pieces Patio Furniture Set Outdoor Sectional Rattan Daybed Conversation Sofa Set Wicker Couch with & Tempered Glass,117,451.1543752777925,219.63,0,Free shipping,1,200-500,0.51
"6Pieces Wicker Patio Furniture Sets Outdoor Conversation Set PE Rattan Sectional Sofa Couch with 30"" Fire Pit Table and Cushions",128,1151.0425355557393,574.86,0,Free shipping,1,500+,0.5
"Aluminum Patio Furniture Set, Modern Patio Conversation Set, All Weather Dark Grey Outdoor Sectional Sofa Set w/Table",117,998.5065972376956,497.44,1,Free shipping,1,200-500,0.5
